2024-08-02 09:12:17.570 [info] Reading sessions from keychain...
2024-08-02 09:12:17.570 [info] Getting sessions for all scopes...
2024-08-02 09:12:17.570 [info] Getting sessions for all scopes...
2024-08-02 09:12:17.570 [info] Getting sessions for user:email...
2024-08-02 09:12:17.570 [info] Got stored sessions!
2024-08-02 09:12:17.570 [info] Got 1 verified sessions.
2024-08-02 09:12:17.570 [info] Got 1 sessions for ...
2024-08-02 09:12:17.570 [info] Got 1 sessions for ...
2024-08-02 09:12:17.570 [info] Got 1 sessions for user:email...
2024-08-02 09:12:17.769 [info] Getting sessions for user:email...
2024-08-02 09:12:17.769 [info] Got 1 sessions for user:email...
2024-08-02 09:12:17.853 [info] Getting sessions for user:email...
2024-08-02 09:12:17.854 [info] Got 1 sessions for user:email...
2024-08-02 09:12:18.599 [info] Getting sessions for all scopes...
2024-08-02 09:12:18.599 [info] Got 1 sessions for ...
2024-08-02 09:12:21.214 [info] Getting sessions for all scopes...
2024-08-02 09:12:21.214 [info] Got 1 sessions for ...
2024-08-02 09:12:21.582 [info] Getting sessions for all scopes...
2024-08-02 09:12:21.582 [info] Got 1 sessions for ...
2024-08-02 09:12:22.267 [info] Getting sessions for all scopes...
2024-08-02 09:12:22.267 [info] Got 1 sessions for ...
2024-08-02 09:12:23.405 [info] Getting sessions for all scopes...
2024-08-02 09:12:23.405 [info] Got 1 sessions for ...
2024-08-02 09:12:27.017 [info] Getting sessions for read:user,repo,user:email...
2024-08-02 09:12:27.017 [info] Got 0 sessions for read:user,repo,user:email...
2024-08-02 09:12:27.476 [info] Getting sessions for all scopes...
2024-08-02 09:12:27.476 [info] Got 1 sessions for ...
2024-08-02 09:12:35.897 [info] Getting sessions for all scopes...
2024-08-02 09:12:35.897 [info] Got 1 sessions for ...
2024-08-02 09:12:38.266 [info] Getting sessions for all scopes...
2024-08-02 09:12:38.266 [info] Got 1 sessions for ...
2024-08-02 09:12:40.452 [info] Getting sessions for all scopes...
2024-08-02 09:12:40.452 [info] Got 1 sessions for ...
2024-08-02 09:12:55.153 [info] Getting sessions for all scopes...
2024-08-02 09:12:55.153 [info] Got 1 sessions for ...
2024-08-02 09:13:13.236 [info] Getting sessions for all scopes...
2024-08-02 09:13:13.236 [info] Got 1 sessions for ...
2024-08-02 09:13:30.864 [info] Getting sessions for all scopes...
2024-08-02 09:13:30.864 [info] Got 1 sessions for ...
2024-08-02 09:13:31.608 [info] Getting sessions for all scopes...
2024-08-02 09:13:31.608 [info] Got 1 sessions for ...
2024-08-02 09:13:42.444 [info] Getting sessions for all scopes...
2024-08-02 09:13:42.444 [info] Got 1 sessions for ...
2024-08-02 09:13:45.087 [info] Getting sessions for all scopes...
2024-08-02 09:13:45.087 [info] Got 1 sessions for ...
2024-08-02 09:13:45.987 [info] Getting sessions for all scopes...
2024-08-02 09:13:45.987 [info] Got 1 sessions for ...
2024-08-02 09:13:48.088 [info] Getting sessions for all scopes...
2024-08-02 09:13:48.088 [info] Got 1 sessions for ...
2024-08-02 09:13:59.447 [info] Getting sessions for all scopes...
2024-08-02 09:13:59.447 [info] Got 1 sessions for ...
2024-08-02 09:14:02.591 [info] Getting sessions for all scopes...
2024-08-02 09:14:02.591 [info] Got 1 sessions for ...
2024-08-02 09:14:26.104 [info] Getting sessions for all scopes...
2024-08-02 09:14:26.104 [info] Got 1 sessions for ...
2024-08-02 09:14:28.468 [info] Getting sessions for all scopes...
2024-08-02 09:14:28.468 [info] Got 1 sessions for ...
2024-08-02 09:14:39.352 [info] Getting sessions for all scopes...
